stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
Accountancy,1,1,Accountancy,Accountancy,,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFBC001,1,1,Bank Charges,,,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH01,1,1,EABCL Vital 350 SC-1Litre,EABCL Vital 350 SC-1Litre,,B,4010,5010,1510,5040,1530,0,0,27,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH02,1,1,Afribat 69WP 10Kg,Afribat 69WP 10Kg,,B,4010,5010,1510,5040,1530,0,0,12.5,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH03,1,1,Agromax 720WP 1kg,Agromax 720WP 1kg,,B,4010,5010,1510,5040,1530,0,0,11,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH04,1,1,Amino Gold 20Ltr,Amino Gold 20Ltr,,B,4010,5010,1510,5040,1530,0,0,280,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH05,1,1,Agrigrow Highmax 24-24-18 5ltrs,Agrigrow Highmax 24-24-18 5ltrs,,B,4010,5010,1510,5040,1530,0,0,8,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH06,1,1,Aligator 1 L,Aligator 1 L,,B,4010,5010,1510,5040,1530,0,0,28,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH07,1,1,Calmag 25 ltrs,Calmag 25 ltrs,,B,4010,5010,1510,5040,1530,0,0,6.5,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH08,1,1,ARIMA 30SC 1LT PACK,ARIMA 30SC 1LT PACK,,B,4010,5010,1510,5040,1530,0,0,155,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH09,1,1,IMPULSE,IMPULSE,,B,4010,5010,1510,5040,1530,0,0,64,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH10,1,1,Chorus 1Kg,Chorus 1Kg,,B,4010,5010,1510,5040,1530,0,0,55,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH11,1,1,SOLVIT 175 EW 1LT PACK,SOLVIT 175 EW 1LT PACK,,B,4010,5010,1510,5040,1530,0,0,70,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH12,1,1,Climate 1Ltr,Climate 1Ltr,,B,4010,5010,1510,5040,1530,0,0,45,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH13,1,1,Delegate,Delegate,,B,4010,5010,1510,5040,1530,0,0,438,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH14,1,1,Dipnoy 60VER2 Rose Dipping,Dipnoy 60VER2 Rose Dipping,,B,4010,5010,1510,5040,1530,0,0,115,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH15,1,1,Dolphin 260WDG,Dolphin 260WDG,,B,4010,5010,1510,5040,1530,0,0,35,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH16,1,1,Drench 20 Litres,Drench 20 Litres,,B,4010,5010,1510,5040,1530,0,0,11,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH17,1,1,Evade 80 Wp:5kg,Evade 80 Wp:5kg,,B,4010,5010,1510,5040,1530,0,0,4.5,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH18,1,1,EVIK 500SP,EVIK 500SP,,B,4010,5010,1510,5040,1530,0,0,48,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH19,1,1,Fortune Aza 1L,Fortune Aza 1L,,B,4010,5010,1510,5040,1530,0,0,19,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
HFCH20,1,1,Borax,Borax,,B,4010,5010,1510,5040,1530,0,0,1.1,0,0,0,0,0,0,0,S,0,1,10/27/2020,10/27/2020,
